member_id,first_name,last_name,email,phone,dob,state,zip_code,enrollment_date,agent_id,carrier,plan_type
MEM000017,Robert,Miranda,allencarlos@example.net,5792030673,1975-01-16,TN,18868,2023-03-13,AGT0066,VSP,Vision Premium
MEM000018,William,Roberts,barbara53@example.com,(483)864-4089,1979-09-17,IN,73357,2024-07-03,AGT0015,VSP,Dental Basic
MEM000019,Tyler,Compton,ufloyd@example.net,(862)846-2873x34270,1953-06-07,OH,73545,2023-09-29,AGT0077,VSP,Dental Premium
MEM000020,Alyssa,Price,james17@example.com,383-504-6990,1989-02-24,CA,77516,2023-11-18,AGT0066,MetLife,Dental Premium
MEM000021,Jennifer,Hansen,vclark@example.com,5337173936,1967-01-20,KY,37602,2024-08-13,AGT0006,Zurich,Dental Premium
MEM000022,Oscar,Ferguson,kyle58@example.com,217.653.5560x932,1998-04-22,MI,73024,2024-06-16,AGT0047,VSP,Dental Basic
MEM000023,Sarah,Riley,mphillips@example.com,969.937.8547,1979-08-16,CA,22551,2024-11-11,AGT0041,Zurich,Dental+Vision Bundle
MEM000024,Jessica,Bell,jenniferfreeman@example.net,+1-508-901-0062x3120,1995-07-01,KY,49417,2023-11-04,AGT0053,VSP,Dental Premium
MEM000025,Bruce,Little,bhopkins@example.org,+1-286-800-8484,1999-09-27,IL,23997,2023-10-30,AGT0025,VSP,Vision Premium
MEM000026,Daniel,Davis,johnharvey@example.com,(246)315-6793x341,1965-08-12,CA,53621,2024-01-24,AGT0073,VSP,Dental Premium
MEM000027,Nicholas,Tran,walshjacqueline@example.org,365.691.8033x9740,1977-04-06,KY,71677,2023-01-01,AGT0027,VSP,Vision Premium
MEM000028,Anna,Johnson,alexis39@example.org,001-761-242-9396x85621,1978-11-29,FL,13304,2024-09-13,AGT0057,VSP,Vision Premium
MEM000029,Samuel,Roberson,cassie99@example.com,001-350-647-7358x66296,1992-06-14,IL,32803,2024-06-07,AGT0011,VSP,Vision Basic
MEM000030,Jennifer,Miller,normanbowers@example.org,001-365-451-1047x5412,1980-01-27,OH,56990,2024-10-10,AGT0031,Zurich,Dental Premium
MEM000031,Shane,Peters,fgarcia@example.com,+1-819-395-6046,1963-03-22,IN,95507,2023-07-23,AGT0006,MetLife,Dental+Vision Bundle
MEM000032,Rachel,Stein,ashleyjackson@example.com,(824)644-7212,1956-07-14,FL,55695,2024-09-17,AGT0054,Zurich,Vision Basic
MEM000033,Kevin,Patton,johnathan37@example.net,+1-937-712-4065x965,1994-05-09,GA,56942,2024-01-29,AGT0032,MetLife,Vision Premium
MEM000034,Lisa,Villarreal,kevinmorrison@example.net,575.726.5479,1959-07-25,GA,49791,2023-01-06,AGT0029,MetLife,Dental+Vision Bundle
MEM000035,Juan,Hartman,daniel93@example.net,+1-828-907-3741,1991-09-05,IN,18743,2024-06-14,AGT0072,MetLife,Dental+Vision Bundle
MEM000036,Cynthia,Allen,jennifermccormick@example.org,397.396.8868x058,1990-12-14,IL,33037,2023-05-05,AGT0060,Zurich,Vision Basic
MEM000037,Diane,Kelly,hartdeanna@example.net,(556)910-1438x8899,2003-06-03,TN,49537,2024-07-26,AGT0057,Zurich,Dental+Vision Bundle
MEM000038,Peter,Barton,michaeljohnson@example.org,961-312-5457x3875,1988-04-14,TX,57932,2024-05-31,AGT0058,MetLife,Vision Premium
MEM000039,Jennifer,Chavez,evanslisa@example.org,7518238282,1990-05-18,KY,61063,2024-05-01,AGT0032,Zurich,Dental Premium
MEM000040,Jesse,Sullivan,jacobsandoval@example.com,5936796603,1993-06-23,MI,99109,2024-06-17,AGT0036,VSP,Dental Basic
MEM000041,Jane,Flynn,lloydamanda@example.com,737-714-7859x69691,1971-01-14,KY,60513,2023-10-20,AGT0043,VSP,Dental+Vision Bundle
MEM000042,Christina,Cervantes,samantha91@example.net,(851)834-1252,1962-06-01,IL,78675,2023-03-24,AGT0030,VSP,Vision Premium
MEM000043,Devin,Reyes,tommymedina@example.net,(282)774-2257,1955-10-06,GA,01757,2023-08-08,AGT0053,VSP,Vision Basic
MEM000044,Todd,Lee,gmaynard@example.net,667.567.7219x0340,1955-08-03,MI,70966,2024-03-01,AGT0054,VSP,Dental+Vision Bundle
MEM000045,Keith,Norman,hdunn@example.net,848-358-0783,1951-10-03,CA,96968,2024-08-21,AGT0049,VSP,Dental Basic
MEM000046,Maria,Potter,nancy07@example.com,(417)513-3959x629,1976-10-15,GA,27625,2023-12-27,AGT0054,Zurich,Vision Premium
MEM000047,Linda,Hudson,candice25@example.net,449-748-1260x4223,1969-10-14,FL,32948,2024-07-13,AGT0029,VSP,Dental Premium
MEM000048,Kathleen,Lowe,othomas@example.com,+1-266-371-1684x5775,1984-11-20,TN,96305,2023-01-30,AGT0052,Zurich,Dental Basic
MEM000049,Teresa,Reid,melissa86@example.org,(237)345-4589x29750,1961-06-14,CA,82575,2024-04-23,AGT0069,MetLife,Dental+Vision Bundle
MEM000050,Kristen,Stevens,nobleeric@example.com,6633242415,2000-08-19,IN,49239,2024-08-29,AGT0011,Zurich,Dental Premium
MEM000051,Elizabeth,Banks,sanderskevin@example.net,001-236-211-0371x29387,1966-04-21,IN,91674,2024-04-17,AGT0034,VSP,Dental Premium
MEM000052,Matthew,Martinez,ebenson@example.org,861.411.5542,1979-04-29,TN,84593,2024-04-10,AGT0049,VSP,Vision Premium
MEM000053,Victoria,Thomas,bishopfrank@example.com,001-732-869-7311x2196,1972-08-19,OH,41723,2024-03-07,AGT0061,MetLife,Vision Premium
MEM000054,Kylie,Wright,wrightcarolyn@example.net,+1-540-943-8983x640,1981-05-25,MI,51079,2023-02-23,AGT0009,Zurich,Dental Basic
MEM000055,Daniel,Porter,ricetiffany@example.com,626-596-5827x10910,1972-03-08,MI,05721,2023-02-01,AGT0003,Zurich,Dental Basic
MEM000056,Sandra,Fry,ohunter@example.net,566.461.8892x41418,1992-06-26,OH,70806,2023-05-10,AGT0073,MetLife,Vision Basic
MEM000057,Mark,Willis,collinssamuel@example.org,6314617990,1983-02-04,IL,16156,2023-09-20,AGT0078,Zurich,Dental+Vision Bundle
MEM000058,Alexander,Taylor,martinstephanie@example.net,342.952.4105x64814,1964-09-10,KY,60164,2023-04-28,AGT0014,Zurich,Dental Basic
MEM000059,William,Brown,michaelscott@example.org,001-913-780-0030,2001-08-28,GA,50698,2023-11-16,AGT0051,Zurich,Dental Basic
MEM000060,Samantha,White,tranrobin@example.net,+1-263-453-6541x9518,1971-10-15,OH,29754,2024-08-29,AGT0039,Zurich,Vision Basic
MEM000061,Linda,Jarvis,djones@example.com,001-945-718-7053x49493,2000-10-09,IN,78055,2023-05-04,AGT0045,Zurich,Dental Premium
MEM000062,Teresa,Cuevas,jessicapayne@example.org,(206)803-8505,1956-03-09,TX,97242,2024-01-15,AGT0044,MetLife,Dental+Vision Bundle
MEM000063,Jessica,Garcia,robertwoodward@example.org,001-441-803-8657x191,1959-06-21,GA,10309,2024-05-16,AGT0047,Zurich,Dental+Vision Bundle
MEM000064,Brittany,Brown,joelgreen@example.com,(455)974-3132x9121,1963-09-23,GA,61587,2024-04-15,AGT0023,Zurich,Vision Basic
MEM000065,Lee,Martinez,tami37@example.com,541.712.4903x521,1974-03-26,CA,52437,2024-10-28,AGT0069,VSP,Vision Basic
MEM000066,William,Byrd,lori20@example.com,488.531.7121x003,1974-01-29,TN,53006,2024-08-29,AGT0032,MetLife,Dental Premium
MEM000067,Nathan,Mccoy,aguilarjonathan@example.org,9132721510,1971-11-17,FL,22519,2024-04-06,AGT0073,Zurich,Vision Premium
MEM000068,Sandra,Hamilton,ycrawford@example.net,(625)932-4472x09993,1952-07-29,FL,54501,2023-12-11,AGT0042,MetLife,Vision Basic
MEM000069,Nicole,Mendoza,ramirezderrick@example.org,+1-783-880-6578x7598,1973-03-06,TN,35947,2023-12-30,AGT0036,Zurich,Vision Premium
MEM000070,Hector,Flores,anthonycochran@example.com,5786593213,1999-11-12,IN,70452,2023-10-10,AGT0067,MetLife,Dental Basic
MEM000071,Lisa,Stark,gallagherstacie@example.net,(452)523-9559x0599,1993-10-31,TX,65018,2024-02-21,AGT0031,Zurich,Vision Basic
MEM000072,Amber,Thompson,davisjesse@example.org,4877059325,1990-03-17,IN,08307,2024-05-17,AGT0012,VSP,Dental Basic
MEM000073,Andrew,Willis,kimmathis@example.com,456-891-5452,1977-06-21,CA,84290,2023-09-07,AGT0048,VSP,Vision Basic
MEM000074,Susan,Banks,jasminehoffman@example.net,(239)426-4422x096,1988-03-04,TX,79457,2023-12-19,AGT0043,VSP,Vision Premium
MEM000075,Lucas,Lamb,daniellegarcia@example.com,(951)235-5215,1977-07-05,KY,35262,2023-10-05,AGT0030,MetLife,Vision Premium
MEM000076,Jason,Steele,jonathan10@example.org,(576)426-7658x6179,1960-09-22,TX,59652,2023-11-20,AGT0024,MetLife,Dental Basic
MEM000077,Charles,Singleton,andrew41@example.org,826-421-8159x97062,1974-10-22,CA,07520,2024-05-10,AGT0068,Zurich,Dental Premium
MEM000078,Craig,Harris,robertspencer@example.net,+1-944-443-1069,1967-06-01,KY,07645,2023-04-13,AGT0030,VSP,Dental Basic
MEM000079,Michael,Patterson,madison97@example.org,803-924-1714,1997-12-02,IL,64607,2023-01-15,AGT0036,MetLife,Dental+Vision Bundle
MEM000080,Patricia,Baker,ylopez@example.com,(270)447-7434,1976-03-17,IL,99097,2024-07-20,AGT0063,MetLife,Dental+Vision Bundle
MEM000081,Heather,Davis,lindsey69@example.org,+1-906-686-8793,1975-07-06,FL,10849,2024-08-10,AGT0062,VSP,Dental Premium
MEM000082,Ralph,Nash,shawrachel@example.net,+1-592-417-2233x20616,1972-08-26,FL,78495,2023-02-22,AGT0015,MetLife,Dental Premium
MEM000083,Jonathan,Bartlett,millerangela@example.net,348-370-9986x16229,2001-10-07,IN,74253,2023-03-17,AGT0020,MetLife,Dental+Vision Bundle
MEM000084,Kimberly,Floyd,natalie46@example.net,899.770.2462x9960,1957-08-23,MI,91008,2023-11-08,AGT0016,Zurich,Vision Premium
MEM000085,John,Reese,penny05@example.com,547-913-2475x4691,2003-06-25,CA,28208,2024-09-12,AGT0029,Zurich,Dental Premium
MEM000086,Robin,Russell,xmalone@example.org,521.248.6289x02330,1976-09-04,CA,60328,2024-03-29,AGT0055,VSP,Vision Basic
MEM000087,Brent,Ward,joshuacolon@example.net,(710)435-7972x7985,1958-11-26,MI,34404,2023-03-03,AGT0028,VSP,Vision Premium
MEM000088,Kaitlyn,Barker,anthony02@example.net,001-233-533-4680x07229,1971-07-09,IL,33582,2023-06-10,AGT0071,MetLife,Dental Basic
MEM000089,Charlene,Hahn,rodney65@example.com,637-648-9691x085,1990-06-02,CA,90208,2024-02-23,AGT0061,VSP,Dental Basic
MEM000090,Daniel,Brown,danielle44@example.net,001-943-628-3096x520,1975-05-14,FL,34504,2023-10-23,AGT0010,Zurich,Dental Basic
MEM000091,Rebecca,Sullivan,aguilarwanda@example.org,638-475-8428x24172,2002-11-30,MI,89592,2023-09-28,AGT0055,MetLife,Vision Basic
MEM000092,Rachel,Pena,michaelgarner@example.com,(955)549-4717x09991,1963-05-15,KY,66099,2024-10-25,AGT0019,MetLife,Dental Basic
MEM000093,David,Becker,robert22@example.org,969-672-5217x52500,2003-05-21,CA,27945,2023-11-11,AGT0037,VSP,Dental Basic
MEM000094,Kathleen,Jackson,tracygallagher@example.org,(296)566-6760,1986-02-10,KY,96269,2023-11-08,AGT0065,Zurich,Vision Basic
MEM000095,Nathan,Smith,katherine83@example.org,+1-203-635-4216x89421,2003-08-27,IN,38620,2023-03-24,AGT0056,Zurich,Dental Premium
MEM000096,Stephen,Meyer,ryan25@example.com,(432)360-3323x098,1952-04-27,OH,48550,2023-09-14,AGT0030,Zurich,Dental+Vision Bundle
MEM000097,Jennifer,Conner,qmcdowell@example.net,+1-609-901-0016x761,2002-09-03,IN,92496,2024-08-12,AGT0035,Zurich,Dental Basic
MEM000098,Eric,Neal,turnerdorothy@example.net,549.592.6189x14117,1992-03-18,TX,34972,2023-06-29,AGT0057,VSP,Dental Basic
MEM000099,Marie,Dudley,jade42@example.org,+1-373-975-3001,1989-02-08,FL,20049,2024-08-22,AGT0012,VSP,Dental Premium
MEM000100,Stacy,Chan,cummingscraig@example.com,+1-837-344-7012x0455,1978-10-21,OH,12952,2023-12-08,AGT0021,VSP,Dental Premium
MEM000101,Melissa,Zamora,christianelizabeth@example.org,857-994-1552x16674,1975-11-10,GA,55779,2024-05-22,AGT0071,MetLife,Vision Basic
MEM000102,Deborah,Robles,andersonjessica@example.org,769-279-7296,1972-08-23,TN,90215,2023-11-19,AGT0015,VSP,Dental+Vision Bundle
MEM000103,Nichole,Acosta,timothyfreeman@example.com,301.845.0899x358,1998-09-05,FL,87233,2023-01-02,AGT0053,MetLife,Dental Basic
MEM000104,Jessica,Olson,jhernandez@example.net,7025877217,1994-09-21,FL,43872,2024-01-06,AGT0007,MetLife,Dental Premium
MEM000105,Tara,Williams,andreagray@example.org,377-997-1775,1975-11-04,FL,98180,2023-05-15,AGT0063,MetLife,Dental Basic
MEM000106,Denise,Garcia,jjohnson@example.org,799-248-8375,1971-06-21,IL,29719,2024-10-07,AGT0040,Zurich,Dental Basic
MEM000107,Megan,Rivera,xmoran@example.net,211.430.5548x851,1958-05-13,MI,65043,2024-02-22,AGT0015,VSP,Dental+Vision Bundle
MEM000108,Donald,Love,nrodriguez@example.org,216.337.3516,1963-10-25,FL,59549,2024-10-25,AGT0038,Zurich,Vision Premium
MEM000109,Stephen,Lawrence,tamarasmith@example.net,4863978292,1993-04-15,FL,51279,2024-03-01,AGT0032,VSP,Vision Basic
MEM000110,Diane,Obrien,william66@example.net,001-634-765-4722x698,1967-02-06,CA,93807,2024-01-28,AGT0066,Zurich,Dental+Vision Bundle
MEM000111,Jillian,Spencer,jamesweber@example.com,+1-652-828-8515x87996,1974-10-14,GA,02174,2023-03-13,AGT0044,Zurich,Dental Premium
MEM000112,Alexandra,Johnson,brianbrown@example.com,001-524-842-0438x05719,1975-05-18,KY,31643,2023-01-03,AGT0076,Zurich,Dental+Vision Bundle
MEM000113,William,Robles,heather06@example.com,(558)500-4397x35989,1963-05-02,FL,39059,2024-05-16,AGT0069,VSP,Dental Premium
MEM000114,Shane,Lucero,lopezglenn@example.net,660-264-8422,1998-10-03,GA,43828,2024-07-19,AGT0059,VSP,Dental+Vision Bundle
MEM000115,Steven,Pineda,hernandezmarcus@example.org,001-494-879-8515x83281,2001-04-19,GA,71683,2023-09-02,AGT0030,VSP,Dental Basic
MEM000116,Amanda,Davis,nicolealvarado@example.com,(543)298-7801x573,1984-03-15,GA,89964,2024-04-29,AGT0020,VSP,Dental+Vision Bundle
MEM000117,Nicole,James,cruzamber@example.com,5857887704,1995-01-24,CA,67858,2023-05-10,AGT0043,MetLife,Dental+Vision Bundle
MEM000118,Christopher,Davis,simsjason@example.net,001-336-213-8612x07501,1958-12-12,TX,23830,2024-03-26,AGT0059,MetLife,Vision Premium
MEM000119,Laura,Grant,rhondarussell@example.com,+1-366-750-6180x9190,1963-11-07,OH,66408,2024-02-24,AGT0061,VSP,Dental Premium
MEM000120,Daniel,Buchanan,catherine47@example.com,(207)428-3268x4245,1957-03-16,TN,16653,2024-02-12,AGT0069,VSP,Dental+Vision Bundle
MEM000121,Bobby,Armstrong,fmedina@example.com,653.568.2223,1993-10-11,TX,15524,2024-10-03,AGT0005,Zurich,Dental Basic
MEM000122,Howard,Marsh,yorksarah@example.net,481.541.4139x755,1975-10-13,MI,13614,2024-10-08,AGT0012,VSP,Dental+Vision Bundle
MEM000123,Justin,Jones,louishayes@example.net,+1-849-629-9556x20533,1959-01-07,FL,47619,2024-10-10,AGT0022,Zurich,Dental Premium
MEM000124,Dennis,Quinn,wford@example.com,281.229.1428x3411,1954-02-16,TN,76770,2023-01-30,AGT0008,VSP,Dental Premium
MEM000125,Beth,Hammond,rebeccaarnold@example.net,+1-972-356-3942,1963-01-23,MI,52508,2024-03-17,AGT0068,VSP,Vision Basic
MEM000126,Michael,Smith,melaniedrake@example.net,+1-928-527-2299x27503,1965-04-02,IL,08740,2023-07-04,AGT0011,Zurich,Dental+Vision Bundle
MEM000127,Joseph,Young,aprilmoody@example.com,870.805.1844x9892,1971-08-10,FL,48381,2024-09-26,AGT0075,MetLife,Dental Basic
MEM000128,Briana,Villanueva,blacknicholas@example.org,665.557.7908x27231,1972-10-14,FL,20193,2024-10-15,AGT0033,Zurich,Dental Basic
MEM000129,Jacob,Cox,guerrerorobert@example.com,001-417-477-3926x0302,1975-10-22,TX,83016,2024-04-21,AGT0021,MetLife,Dental Premium
MEM000130,William,Macdonald,brianscott@example.org,869.490.4137x97723,2002-09-18,KY,76869,2023-12-20,AGT0055,Zurich,Dental Premium
MEM000131,Lori,White,gary57@example.net,001-813-466-2103,1967-11-15,GA,79866,2023-11-06,AGT0062,MetLife,Dental Basic
MEM000132,Cole,Alvarez,richamanda@example.org,772-298-0686,1982-03-16,CA,91942,2024-08-08,AGT0038,Zurich,Dental Premium
MEM000133,Alyssa,Perez,yclarke@example.com,001-691-862-4731,1985-07-05,KY,34292,2024-11-05,AGT0002,Zurich,Dental+Vision Bundle
MEM000134,Jacob,Fletcher,lanedavid@example.org,(735)665-1269x4486,1994-07-25,KY,89709,2023-02-20,AGT0030,Zurich,Dental+Vision Bundle
MEM000135,Raymond,Harris,jwhite@example.net,844.795.6213x7213,1967-01-22,CA,72666,2023-08-13,AGT0033,Zurich,Vision Premium
MEM000136,Christina,Cohen,martintamara@example.org,727-396-1143,1962-04-09,OH,80327,2024-11-06,AGT0006,VSP,Vision Premium
MEM000137,Benjamin,Cruz,hmendez@example.com,001-590-427-7038x430,2001-12-30,TN,88846,2023-02-04,AGT0017,MetLife,Dental+Vision Bundle
MEM000138,Barry,Allen,cantrellchristopher@example.com,001-765-766-9380x11848,1987-04-12,IL,36743,2023-12-01,AGT0026,MetLife,Vision Premium
MEM000139,Jeremy,Mccarty,kspears@example.org,626-681-8184x518,1997-08-16,TX,91490,2024-01-10,AGT0035,MetLife,Dental Premium
MEM000140,Scott,Bennett,wcarrillo@example.com,001-777-290-7141x63356,1976-06-24,TN,92358,2024-05-08,AGT0015,VSP,Dental+Vision Bundle
MEM000141,Marilyn,Wright,rosskaitlyn@example.com,482-575-5394,1970-03-29,GA,65905,2023-05-25,AGT0072,VSP,Dental Basic
MEM000142,Jillian,Young,moniqueclark@example.org,295.221.1179,1951-04-02,KY,63715,2024-02-09,AGT0069,MetLife,Vision Basic
MEM000143,Nathan,Stewart,travis84@example.com,792.808.6780,1973-07-09,CA,90460,2024-11-19,AGT0049,Zurich,Dental+Vision Bundle
MEM000144,Kimberly,Bryant,wolfesteve@example.net,6034691559,1970-12-23,FL,72402,2023-04-21,AGT0004,Zurich,Dental+Vision Bundle
MEM000145,Jose,Adams,michael76@example.org,(855)864-7292x93143,1979-06-06,CA,26199,2024-07-28,AGT0029,Zurich,Dental Basic
MEM000146,Dustin,Haley,thomassmith@example.com,428.285.7448x9061,1977-02-10,GA,28742,2024-04-20,AGT0015,MetLife,Dental Basic
MEM000147,Lisa,Woods,colematthew@example.com,(488)645-0615x939,1977-04-22,FL,47045,2023-02-08,AGT0015,MetLife,Dental Basic
MEM000148,Mark,Dixon,ypreston@example.net,572-725-6996x1125,1962-03-04,GA,42034,2024-07-04,AGT0059,VSP,Vision Premium
MEM000149,Denise,Page,cnelson@example.com,001-498-876-2202x3413,1987-08-08,CA,14002,2024-07-07,AGT0020,VSP,Vision Premium
MEM000150,Cody,Zuniga,bkelley@example.com,411.449.2164x33472,1986-08-13,KY,04245,2024-05-16,AGT0005,Zurich,Dental Premium
MEM000151,Austin,Kelly,michelle78@example.com,+1-872-682-9979,1989-11-23,MI,46005,2024-03-30,AGT0047,MetLife,Dental+Vision Bundle
MEM000152,Timothy,Perez,ramosmichael@example.com,(240)908-2547,1998-11-06,TN,99522,2024-01-12,AGT0008,VSP,Dental Premium
MEM000153,Thomas,Smith,myates@example.org,4858368663,1990-10-18,OH,50093,2023-05-06,AGT0028,Zurich,Vision Basic
MEM000154,Jeffrey,Miller,zacharymarsh@example.net,001-944-984-6312x241,1954-07-16,TN,36170,2023-01-22,AGT0032,MetLife,Vision Premium
MEM000155,Jackie,Vasquez,andrew08@example.org,(414)242-7031,1956-02-27,TX,65195,2023-07-30,AGT0027,Zurich,Dental Basic
MEM000156,Jeff,Fisher,dbolton@example.net,9514204618,1979-06-24,IL,25692,2023-08-27,AGT0077,MetLife,Dental Premium
MEM000157,Paula,Wright,hclayton@example.net,567.930.3718,1961-08-30,TX,51504,2023-05-29,AGT0033,MetLife,Dental Basic
MEM000158,Erin,Collins,eric08@example.net,547-843-5031,1961-10-28,IN,43035,2023-01-27,AGT0046,MetLife,Vision Basic
MEM000159,Alexis,Bauer,fosterjohn@example.org,001-379-725-1327,1965-08-19,KY,82438,2023-01-17,AGT0007,MetLife,Vision Premium
MEM000160,Brian,Kelly,jacquelinemoody@example.org,935.985.7306x5240,1960-03-13,OH,73773,2024-06-22,AGT0061,VSP,Vision Premium
MEM000161,Kenneth,Terry,ashleystephens@example.com,001-774-998-2182x7448,2003-04-06,OH,00595,2024-06-09,AGT0058,Zurich,Dental Basic
MEM000162,Kimberly,Hunter,nicoleharvey@example.com,001-793-851-8638x78294,1953-11-21,TX,84505,2024-09-21,AGT0039,VSP,Vision Basic
MEM000163,Marc,Davis,williamssharon@example.org,9316731096,1955-06-17,FL,06934,2023-02-01,AGT0052,VSP,Vision Premium
MEM000164,Michael,Obrien,smithsamantha@example.net,317.605.8650x9480,1989-10-17,OH,10716,2024-05-17,AGT0011,VSP,Vision Basic
MEM000165,Shirley,Yu,garciajerry@example.com,338.739.2886,1961-04-28,KY,88908,2023-03-09,AGT0080,Zurich,Vision Basic
MEM000166,Stephen,Ortega,jacksonhenry@example.com,552.589.7558x55665,1984-03-04,CA,49661,2023-11-29,AGT0068,VSP,Vision Basic
MEM000167,Katie,Howe,michael77@example.com,6045908240,1988-08-05,OH,28658,2024-09-11,AGT0015,Zurich,Vision Premium
MEM000168,Melissa,Smith,samantha88@example.net,001-721-507-5224,1969-04-16,GA,31040,2024-07-18,AGT0058,MetLife,Dental Premium
MEM000169,Jonathan,Evans,ncarroll@example.net,257-827-9194,1985-10-09,GA,10787,2024-04-09,AGT0013,VSP,Dental Premium
MEM000170,Kimberly,Weeks,michael66@example.org,001-539-406-0480x58925,1972-11-13,TN,07122,2024-11-12,AGT0020,Zurich,Dental+Vision Bundle
MEM000171,Emily,Osborn,kmullins@example.net,936-246-2251,1958-03-09,OH,72348,2023-03-10,AGT0012,VSP,Dental Basic
MEM000172,Raymond,Miller,iayala@example.org,683.876.9389x8331,1961-09-03,TX,42891,2024-01-17,AGT0008,Zurich,Dental+Vision Bundle
MEM000173,Gail,Johnston,powersrodney@example.com,955.490.4259,1979-07-29,OH,58233,2024-07-29,AGT0053,VSP,Dental+Vision Bundle
MEM000174,Brady,Meyers,ginamoore@example.net,310-639-2405,1954-08-13,KY,59491,2024-03-09,AGT0077,VSP,Dental Premium
MEM000175,Thomas,Rivera,jamesmills@example.com,+1-679-420-6980,1995-07-10,MI,08379,2024-08-14,AGT0020,Zurich,Vision Basic
MEM000176,Justin,Mccormick,brian01@example.com,+1-345-410-4636x81579,1981-05-30,TX,26567,2023-04-21,AGT0048,MetLife,Vision Premium
MEM000177,Vincent,Ellis,williamssandra@example.com,876-220-5554x38404,1970-04-16,GA,73238,2024-08-10,AGT0072,Zurich,Vision Basic
MEM000178,Stacy,Perez,penny21@example.net,(489)536-3926x4957,1999-12-13,IN,86021,2024-10-20,AGT0078,Zurich,Dental+Vision Bundle
MEM000179,Dillon,Weaver,michelleparker@example.net,226.729.2518x81252,1952-08-06,IL,54770,2023-10-01,AGT0035,Zurich,Vision Premium
MEM000180,Susan,Turner,edwin31@example.org,(509)594-9993,1981-06-29,IN,90596,2023-12-14,AGT0024,MetLife,Vision Basic
MEM000181,Anthony,Miller,manderson@example.com,001-252-667-7223x306,1956-03-30,IL,54639,2024-02-15,AGT0004,MetLife,Vision Premium
MEM000182,Jeffrey,Powers,katherinejones@example.com,+1-275-373-6609x656,1983-10-02,GA,59694,2023-08-09,AGT0059,VSP,Dental Basic
MEM000183,Stephen,Rich,aprilfoster@example.net,6866803476,1979-02-07,CA,60970,2023-11-16,AGT0077,MetLife,Dental+Vision Bundle
MEM000184,Garrett,Phillips,vaughnrebecca@example.com,+1-271-481-2982x6657,1964-02-15,CA,59965,2023-06-09,AGT0007,Zurich,Dental Basic
MEM000185,Brittany,Marquez,nicoledavis@example.com,001-421-811-7518x689,1988-01-16,FL,72635,2024-03-29,AGT0078,VSP,Dental Premium
MEM000186,Oscar,Tate,ariana22@example.org,(406)544-7421,1995-12-19,OH,00964,2023-08-09,AGT0045,VSP,Dental Basic
MEM000187,Cindy,King,fjimenez@example.net,9973339776,2003-03-19,FL,79303,2024-11-25,AGT0068,Zurich,Dental Premium
MEM000188,Carol,Sanchez,christine83@example.org,(620)750-2099,1985-06-17,CA,11996,2023-08-14,AGT0008,MetLife,Dental Basic
MEM000189,Brandon,Butler,evanmitchell@example.net,001-799-882-7950x145,1962-04-24,KY,09370,2023-08-05,AGT0038,VSP,Dental Basic
